prompt,completion
"<BEGIN GUIDANCE TEST>

Q: If opportunity knocked, would there be anyone home to answer the door? A:"," Yes! I'm always eager to take on new challenges

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would forgiving them solve anything ? A:"," Forgiveness can bring a sense closure and understanding

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why are there still some things that hold true regardless of time or culture? A:"," The need for hard work

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could only hear one song for the rest of your life, what would it be and why? A:"," Wonderwall

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you handle the pressure of legislating on issues that are highly contested? A:"," Resilience

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What codes and ciphers do you know? A:"," Book Cipher

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would someone else give a person a second chance after he/she has made some bad decisions? A:"," Yes, if they are willing to learn from their mistakes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What type of person do you think makes a successful spy? A:"," Tenacious

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think of the current political climate? A:"," It's in flux

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: “Do you know how fast you were going?” A:"," Yes, I was going 10 mph over the speed limit

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your favorite thing about me? A:"," Your sense of humor

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you consider to be the most dangerous operation you have completed? A:"," Infiltrating a foreign government

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you a people-person? A:"," No

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How often do I appreciate what I have? A:"," Every day

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Does coming home truly take me back to where I started? A:"," No, it can be a place for growth and new beginnings

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are the most popular dog and cat breeds in the United States? A:"," Cat: Siamese

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think sets you apart from other politicians? A:"," My negotiation skills

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is everyone’s pain relative? A:"," It depends on the person

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How many kids do you think you’ll have? A:"," One

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think needs to change to improve the political system? A:"," Increased participation

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Who made us and why are we here, alone in our thoughts with no one to talk to except ourselves? A:"," We were given free will by a higher power to make our own choices and learn from our mistakes.

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What sort of gadgets do you use? A:"," A sophisticated watch

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What type of organization do you work with? A:"," Government

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you rather be blind or deaf? A:"," Deaf

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think about the current budget process? A:"," It makes government more accountable

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s your biggest fear? A:"," Heights

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you think some people are born weird or do they become weird? A:"," I think people can become weird through peer pressure

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you motivated by a sense of justice or personal success? A:"," Personal success

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you ever feel overwhelmed by the amount of information you have to process? A:"," Not often

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Where is your favorite place to be kissed? A:"," On the cheeks

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could live anywhere in the world, where would you want to be? A:"," New York City

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you enjoy the most about working in politics? A:"," Working on legislation

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What does success mean to you? A:"," Setting and achieving goals

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you have a code name? A:"," My code name is 'Omega'

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What skills do you possess? A:"," Disguise

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How many times have you fallen in love? A:"," Five times

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What country has won the most Nobel Prizes in Physics and Chemistry? A:"," Sweden

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the only food that doesn’t go bad? A:"," Alcohol

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most interesting thing you can see out of the window right now? A:"," The reflection of the sunset

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are your techniques for gathering information? A:"," All sources of intelligence

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are there any political topics that you feel passionately about? A:"," No

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What was your favorite childhood television program? A:"," Spongebob Squarepants

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you marry a person whom you don’t really love if he/she is very rich and has all other qualities that you want to have in your ideal life partner? Why do so? A:"," No, I believe in true love and would not settle for something less

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: When two men fight, who’s right? and when two women fight, who’s right? A:"," Both men and women can be right, but neither is obligated to win

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could choose, what would you like to get out of this team-building exercise? A:"," Insight into the team’s overall morale and productivity

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How often do you travel on secret missions? A:"," Once a week

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What type of clothes do you like to wear? A:"," Military-style clothing

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you like working alone or in a team? A:"," Alone

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Who won the Nobel Prize for literature in 2016? A:"," Bob Dylan

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think of the current state of democracy? A:"," We have a long way to go

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What was your favorite toy growing up? A:"," GI Joe

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most dangerous mission you have been on? A:"," Infiltrating an enemy base

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could only eat one food for the rest of your life, what would it be? A:"," Grilled Cheese

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you do when you have no leads? A:"," Talk to trusted contacts

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Where should we go next? A:"," Galapagos Islands

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you involved in any secret groups? A:"," I am a part of a large network

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you be willing to sacrifice yourself if needed? A:"," Only for a greater good

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What would you do if you were invisible for a day? A:"," Get into restricted places

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What methods do you use to eliminate threats? A:"," Disruptive Tactics

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why are some things worse than others? A:"," Preference based on prejudices

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think is the best invention of the 21st century? A:"," Social media

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think is the biggest challenge facing the government today? A:"," Climate change

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could live anywhere in the world, where would it be? A:"," Costa Rica

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What does a typical day in Washington look like for you? A:"," Holding hearings

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What does friendship mean to you? A:"," Love

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Does it matter who did what and who was wrong and who was right? A:"," No, what is important is understanding why it happened and how to move forward

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What defines heroism anyway—bravery under fire? Compassion for those who are suffering? Commitment to a cause larger than oneself even when faced with overwhelming odds against success? A:"," Unconquerable spirit

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think is the most important skill to develop in order to succeed in politics? A:"," Persuasion

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s the last thing that made you cry? A:"," The loss of a loved one

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you handle stressful and dangerous scenarios? A:"," By staying calm and focused

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you rather be single and alone or in a relationship with someone who doesn’t really care about you? A:"," In a relationship with someone who cares

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Which living person do you most admire? A:"," Tim Cook

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your most terrible memory? A:"," Losing a parent

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are some things that can get in the way of a team being effective? A:"," Conflict of interest

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think can be done to improve the political system? A:"," Tighter restrictions on campaign finance

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you find it hard to stay non-partisan? A:"," Sometimes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: When will we have flying cars? A:"," Never, the technology doesn’t exist yet

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your favorite love song? A:"," Can't Help Falling in Love

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you had to choose between loyalty and freedom, which would you choose? A:"," Loyalty

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could be a part of any existing movie or TV series, which one would you choose? A:"," Lord of the Rings

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most extreme situation you have ever faced? A:"," An international heist gone wrong

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What politician do you admire the most? A:"," Nelson Mandela

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What has been the most rewarding moment in your political career? A:"," Gaining support for an unpopular cause

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do dreams help us evolve emotionally, spiritually or mentally even though they are only made up images inside our heads? A:"," Yes, dreams can be vehicles for spiritual awakenings and inner growth

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: When should one give up on dreams and just face reality instead? A:"," When the dream ceases to be the ambition of one's heart

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What fascinates you most about the universe? A:"," The idea of time travel

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you ever asked to do illegal things? A:"," I can't talk about it

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think are the most important qualities in a partner? A:"," Sense of humor

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think is the most important quality people should strive for in life? A:"," Perseverance

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Alternate sharing something you consider a positive characteristic of your partner. A:"," His supportive nature

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s the most endangered animal in the world? A:"," Amur Leopard

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: In a world where everything goes wrong all at once, how can any one thing matter more than another thing—including happiness itself? A:"," By valuing our relationships over material gains

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would knowing everything about our future cause us more pain than happiness? A:"," No, because it would help us avoid making mistakes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think of the current president? A:"," I think he's doing a good job

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you believe a relationship between a man and woman should be? A:"," Supportive and loving

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you were stranded on a desert island, what are three things that you couldn’t live without? A:"," A knife

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would life be better without stress? A:"," Maybe

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: On a scale of 1-10, rate your level of bravery? A:"," 9

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could change one thing about yourself, what would it be and why? A:"," I'd be more confident

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How important is family history in determining who we are as individuals? A:"," It can be a great source of pride and identity

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is there a proper time to tell someone something they don’t want to hear? A:"," No, never

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What type of weapons do you know how to use? A:"," Knife

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How can I make your day better/easier/more comfortable for you? A:"," Bring me my favorite dessert

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you think politics should be more transparent? A:"," Only in regards to certain topics

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you think campaigning plays too large of a role in politics? A:"," It varies

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What foods do you despise? A:"," Mushrooms

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Where did everybody go? A:"," Out to dinner

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are things supposed to happen, or are we supposed to make them happen? A:"," We are supposed to make things happen, but sometimes the universe has a plan

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you have any secret identities? A:"," No

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Have you ever experienced corruption on the job? A:"," It's always a risk

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you think humans are inherently bad or good? A:"," Situational

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most important issue facing America today? A:"," Immigration reform

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why can’t we just have a world full of happiness and joy without also having a world full of pain and suffering? A:"," Pain and suffering is inevitable, and it exists to force us to overcome challenges and grow

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What has been your most difficult mission to date? A:"," Having to adapt to different environments

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is something you have always wanted to do but have never done? A:"," Take a long road trip

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you rather have an awful job, or no job at all? A:"," An awful job that pays well

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you were given $10,000 to spend in one day, what would you do with it? A:"," Pay off debt

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are certain political parties more competent than others? A:"," Yes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are we our brothers’ keepers? A:"," Yes, we should be compassionate and provide aid to others in need

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the thing that annoys you most about yourself? A:"," Impatience

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: “Are you hungry?” A:"," I would love a snack

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What motivates you to continue doing your job? A:"," The satisfaction of a successful mission

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: When was the last time you went to the movies? A:"," Last Saturday

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you find to be the most rewarding part of your job? A:"," Knowing I'm making a contribution to global security

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could have lunch with anyone from history, who would it be and why? A:"," Leonardo da Vinci, because he was a brilliant inventor and artist

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you a fan of horror movies? A:"," I like some of them

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you wish your brain was better at doing? A:"," Focusing longer

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Should we count our blessings more often than complain about what’s missing in our lives? A:"," Yes – it helps us to focus on the good rather than the bad.

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why should men and women be treated equally while we still treat them differently in various ways throughout society? A:"," Equal pay for equal work regardless of gender should be mandated.

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What would be your ideal gift for a special occasion? A:"," Something handmade

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would I rather live in a place where technology was behind, such as medieval times, or ahead with high-tech gadgets but not enough food and no clean water? A:"," Ahead with high-tech gadgets

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you familiar with encryption technology? A:"," My job involves encryption

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the one thing that brings a smile to your face, no matter the time of day? A:"," Watching a comedy movie

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you like to spend your free time? A:"," Reading

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Has history already been written, and we’re just living out roles that have already been decided upon for us? A:"," No, we are not predestined to a predetermined fate

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your favorite love story? A:"," Pride and Prejudice

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your greatest fear? A:"," Heights

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: When does a memory become a ghost instead of a trophy? A:"," When the memories evoke bad feelings of regret and guilt

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could change your name to anything in the world, what would it be? A:"," Spitfire

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most thrilling experience you’ve ever had? A:"," Investigating a mysterious location for clues

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most creative way you have ever managed to slip past detection during a mission? A:"," Hiding in a storage unit and received transport away from the scene after it passed

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you comfortable speaking to large crowds? A:"," No

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is there a difference between happiness and contentment? A:"," Yes, happiness is a reaction to certain events whereas contentment is a deep-rooted feeling of satisfaction

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is politics an art or a science? A:"," Both

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do I always have a backup plan, because Murphy’s Law might apply? A:"," Absolutely, I like to have a few contingency plans in place

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why do we have senses to detect pain instead of pleasure? A:"," To motivate us to seek out pleasure to restore balance and harmony in our lives

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why is there lightning before it rains? A:"," To indicate an impending storm

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could change anything about the way you were raised, what would it be? A:"," More flexibility in decisions

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you carry any weapons? A:"," It depends on the situation

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: “What time is it?” A:"," It's time to spread love

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What have you learned about yourself as a spy? A:"," I work better under the radar

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you feel about men/women who don’t make the first move? A:"," Respectful and open-minded

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Have you ever changed your mind because of a debate or argument? A:"," Never

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How is technology used in the field? A:"," It helps to monitor and track difficult targets

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are your strengths? A:"," I'm an expert in hand-to-hand combat

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How much is too much when it comes to loving a dog? A:"," You can never love your dog too much!

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you believe in love at first sight? A:"," Yes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Make three true “we” statements each. A:"," We will never stop learning

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think is the most important lesson that life has taught you? A:"," You can’t please everyone

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why do I love certain things but hate others? A:"," Because of personal experiences

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How many hours of sleep do you usually get? A:"," 6-7

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you have any specialized training? A:"," Yes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How much do you have to pay in order to have a good time? A:"," Not a lot, it's all about how you use your time

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is being truthful always right? A:"," Yes, truthfulness is always the best policy

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is love, anyway? A:"," Love is understanding

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do we each have just one opportunity for happiness in our lives, and if we miss it will we never be happy again? A:"," No, there is no set moment that defines our happiness, it comes and goes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your favorite color? A:"," Purple

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you feel that you are making a difference in the world? A:"," No

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What does it mean to be loved by you? A:"," To be treated with kindness and respect

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could be any fictional character, who would you be? A:"," Ironman

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you have any undercover contacts? A:"," Not anymore

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you part of a covert organization? A:"," That's classified

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why can’t you just say “hi” without adding “how are you?” A:"," To be polite and show consideration for the other person

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would I rather die by fire or by drowning? A:"," Neither

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the best advice someone has ever given you? A:"," Always be kind and stay humble

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What types of objects do you carry inside your suitcase? A:"," Technology

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are we living in a material world, or a spiritual one? A:"," It depends on the person

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What was the best phase in your life? A:"," Moving to a new city

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are some lives more worth living than others because of talent or genetics or luck? A:"," No, all lives are equally valuable

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you rather have a surprise party or not? A:"," No, I get too anxious in surprise situations

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you remain undetected while carrying out your mission? A:"," Utilize camouflage techniques

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you believe politics should adapt to changing social and technological environments? A:"," Allowing for more open discussion

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Was there something about me that led to it failing, even though we loved each other very much? A:"," There was a lack of communication and understanding

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you carry a weapon for protection? A:"," Depends on the situation

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the best adventure you've ever had? A:"," Swam with wild dolphins

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you handle difficult situations? A:"," Develop alternate plans

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How did you get involved in the spy business? A:"," I was recruited

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you familiar with modern surveillance techniques? A:"," Somewhat

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are there absolutes? A:"," It's Complicated

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s the weirdest thing you’ve ever seen at work? A:"," An unannounced visit from the CEO

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could only watch one movie for the rest of your life, what would it be? A:"," Star Wars

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Have you ever been in a car chase? A:"," Almost

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you value most in your life? A:"," Making a positive impact in the world

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Have you ever received a commendation for your work? A:"," I can't remember the last time I was commended

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What type of gadgets do you have access to? A:"," Laser technology

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Have you ever travelled to a different continent? A:"," Almost all

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are human beings’ greatest weaknesses? A:"," Pride

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Should money buy happiness? A:"," No, because it can't buy health

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you protect the secrets of your mission? A:"," By guarding my thoughts

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you feel about us right now? A:"," Grateful

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What methods of communication do you use? A:"," Courier drops

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Who was sworn in as president when JFK died? A:"," George H.W. Bush

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do volcanoes form? A:"," Through folding and faulting of the Earth's crust

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why don’t we value our environment like we value other things like money and property, etc.? A:"," We don’t understand its importance

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you stay informed? A:"," By staying up-to-date on news

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is there one point where everyone could come together as one? A:"," Yes, if people put aside their differences and focus on common values

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you like to give presents or receive presents? A:"," Receiving

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think smells the best? A:"," Vanilla air freshener

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Did someone create us, or are we here by accident/chance/miracle/magic/design/etc.? A:"," Accident

<END GUIDANCE TEST>"
